weekday;date;nr1asc;nr2asc;nr3asc;nr4asc;nr5asc;nr6asc;additionalNr;six;currency1;rateSix;fiveAddNr;currency2;rateFiveAddNr;five;currency3;rateFive;four;currency4;rateFour;three;currency5;rateThree;nr1;nr2;nr3;nr4;nr5;nr6;additionalNr;
Wednesday;21.11.2001;8;17;22;31;35;41;44;1;EUR;758616,45;9;EUR;16446,95;169;EUR;1094,82;7469;EUR;39,61;125495;EUR;3,63;41;35;17;31;22;8;44;
Sunday;25.11.2001;5;10;13;21;36;37;15;JP;;966632,20;1;EUR;188611,15;194;EUR;1215,24;9735;EUR;38,73;163709;EUR;3,56;36;37;21;10;5;13;15;
Wednesday;28.11.2001;2;8;20;22;30;31;27;DJP;;2259122,04;8;EUR;31524,09;260;EUR;1212,40;13722;EUR;36,70;223666;EUR;3,49;22;8;30;2;20;31;27;
Sunday;02.12.2001;4;17;19;31;35;44;43;4;EUR;1054736,52;13;EUR;29415,71;462;EUR;1034,64;19327;EUR;39,53;320459;EUR;3,71;19;35;17;44;31;4;43;
Wednesday;05.12.2001;8;17;18;32;33;42;11;2;EUR;392396,39;7;EUR;21875,69;155;EUR;1234,86;7220;EUR;42,37;126598;EUR;3,78;42;8;32;18;33;17;11;
Sunday;09.12.2001;3;6;7;23;32;35;40;JP;EUR;912070,38;4;EUR;44491,18;249;EUR;893,37;10163;EUR;34,96;169536;EUR;3,27;32;23;3;35;7;6;40;
Wednesday;12.12.2001;8;17;24;28;37;38;16;2;EUR;1167188,43;3;EUR;92507,72;277;EUR;1252,30;14468;EUR;38,30;240727;EUR;3,56;28;8;24;37;17;38;16;
Sunday;16.12.2001;3;5;8;19;24;44;2;2;EUR;519100,89;9;EUR;22508,38;329;EUR;769,61;13202;EUR;30,67;199898;EUR;3,12;8;24;5;3;19;44;2;
Wednesday;19.12.2001;2;5;24;26;38;40;18;1;EUR;753085,40;4;EUR;36735,83;138;EUR;1331,00;6895;EUR;42,59;122789;EUR;3,71;40;38;26;5;24;2;18;
Sunday;23.12.2001;3;7;16;24;30;34;12;1;EUR;1061595,10;3;EUR;69046,82;234;EUR;1106,52;12483;EUR;33,14;197824;EUR;3,27;34;16;3;7;30;24;12;
Wednesday;26.12.2001;1;14;17;19;25;31;29;1;EUR;726728,34;2;EUR;60816,55;114;EUR;1333,69;6528;EUR;37,21;103208;EUR;3,63;19;25;31;14;17;1;29;
Sunday;29.12.2001;6;10;11;21;31;37;40;JP;;1125611,07;3;EUR;73210,47;265;EUR;1035,95;15029;EUR;29,21;200083;EUR;3,42;31;11;21;10;6;37;40;
Wednesday;02.01.2002;7;23;24;33;36;39;3;DJP;;1997245,20;5;EUR;33205,10;170;EUR;1098,69;8685;EUR;38,23;145348;EUR;3,56;7;24;36;39;33;23;3;
Sunday;06.01.2002;13;20;28;30;39;43;25;3JP;;3659887,50;11;EUR;28790,30;329;EUR;1082,90;16244;EUR;38,90;268263;EUR;3,60;43;28;13;39;30;20;25;
Wednesday;09.01.2002;10;17;33;39;42;43;29;2;EUR;3417662,90;15;EUR;40323,00;544;EUR;1250,80;29448;EUR;41,00;503108;EUR;3,70;10;42;17;33;39;43;29;
Sunday;13.01.2002;4;5;30;33;35;42;10;1;EUR;1000000,00;3;EUR;62524,90;191;EUR;1104,80;7890;EUR;47,50;146008;EUR;4,00;33;35;4;5;30;42;10;
Wednesday;16.01.2002;4;21;26;35;39;43;28;1;EUR;767889,60;4;EUR;36566,10;138;EUR;1192,30;8060;EUR;36,20;127125;EUR;3,50;21;43;4;26;35;39;28;
Sunday;20.01.2002;3;4;29;34;36;42;20;1;EUR;1026237,50;5;EUR;39094,70;121;EUR;1817,40;7567;EUR;51,60;143497;EUR;4,20;4;42;34;3;36;29;20;
Wednesday;23.01.2002;6;14;20;21;26;37;15;JP;;748341,40;2;EUR;71270,60;88;EUR;1822,20;5833;EUR;48,80;112643;EUR;3,90;26;21;14;20;37;6;15;
Sunday;27.01.2002;3;6;13;36;38;39;30;DJP;;2181541,20;4;EUR;68247,60;249;EUR;1233,30;12799;EUR;42,60;220524;EUR;3,80;6;3;38;13;39;36;30;
Wednesday;30.01.2002;1;14;24;26;32;39;25;3JP;;3982892,00;8;EUR;42889,30;311;EUR;1241,10;15519;EUR;44,20;273799;EUR;3,90;24;1;26;32;39;14;25;
Sunday;03.02.2002;18;21;25;37;40;43;32;1;EUR;6621476,50;12;EUR;41882,20;389;EUR;1453,40;21146;EUR;47,50;371632;EUR;4,20;18;25;21;40;37;43;32;
Wednesday;06.02.2002;1;3;6;16;29;39;2;2;EUR;396484,60;8;EUR;18880,20;217;EUR;783,00;9497;EUR;31,80;149942;EUR;3,10;39;6;3;1;29;16;2;
Sunday;10.02.2002;8;24;25;32;36;43;14;JP;;1029504,80;9;EUR;21788,40;167;EUR;1321,00;8631;EUR;45,40;146268;EUR;4,10;36;24;8;25;43;32;14;
Wednesday;13.02.2002;1;19;27;30;39;45;13;2;EUR;1198370,50;6;EUR;43404,30;270;EUR;1085,10;13805;EUR;37,70;228612;EUR;3,50;27;39;1;19;30;45;13;
Sunday;17.02.2002;1;6;14;18;25;37;39;3;EUR;335218,10;3;EUR;63851,00;179;EUR;1203,80;8403;EUR;45,50;144992;EUR;4,10;1;37;25;18;14;6;39;
Wednesday;20.02.2002;11;16;24;39;43;44;31;2;EUR;376822,00;4;EUR;35887,80;110;EUR;1468,10;6253;EUR;45,90;114461;EUR;3,90;11;39;24;44;43;16;31;
Sunday;24.02.2002;10;12;17;27;42;45;34;JP;;1010979,90;5;EUR;38513,50;187;EUR;1158,40;9960;EUR;38,60;169382;EUR;3,50;10;45;17;27;12;42;34;
Wednesday;27.02.2002;2;7;10;39;42;45;1;1;EUR;2338479,10;5;EUR;50571,30;216;EUR;1316,90;12060;EUR;41,90;212216;EUR;3,70;45;7;2;10;39;42;1;
Sunday;03.03.2002;2;3;7;14;41;42;37;JP;;1009504,70;2;EUR;96143,30;155;EUR;1395,60;8949;EUR;42,90;164131;EUR;3,60;14;2;3;7;42;41;37;
Wednesday;06.03.2002;2;13;23;30;34;45;3;1;EUR;2394011,20;7;EUR;37673,60;218;EUR;1360,90;11329;EUR;46,50;201765;EUR;4,00;30;23;13;2;45;34;3;
Sunday;10.03.2002;9;21;25;28;37;44;5;JP;;1025434,50;8;EUR;24415,10;192;EUR;1144,40;9123;EUR;42,80;158652;EUR;3,80;28;25;37;21;44;9;5;
Wednesday;13.03.2002;5;8;22;32;34;43;29;1;EUR;2442145,50;6;EUR;44974,90;348;EUR;872,30;15023;EUR;35,90;235530;EUR;3,50;32;22;34;5;43;8;29;
Sunday;17.03.2002;4;10;12;27;37;41;18;1;EUR;963291,50;6;EUR;30580,60;178;EUR;1159,60;9388;EUR;39,00;161481;EUR;3,50;12;10;4;41;37;27;18;
Wednesday;20.03.2002;16;29;32;37;41;43;38;JP;;783991,50;2;EUR;74665,80;154;EUR;1090,80;7107;EUR;42,00;116325;EUR;4,00;41;43;16;29;37;32;38;
Sunday;24.03.2002;1;3;13;32;34;37;36;2;EUR;1126166,70;5;EUR;55936,80;193;EUR;1630,20;12505;EUR;44,70;220028;EUR;3,90;37;34;3;1;13;32;36;
Wednesday;27.03.2002;4;8;20;23;34;39;7;1;EUR;882262,30;4;EUR;42012,40;232;EUR;814,80;9191;EUR;36,50;144881;EUR;3,60;34;20;23;8;39;4;7;
Sunday;31.03.2002;6;18;33;36;37;38;30;1;EUR;981320,60;3;EUR;62306,00;159;EUR;1322,50;8699;EUR;42,90;147796;EUR;3,90;37;36;33;18;6;38;30;
Wednesday;03.04.2002;16;22;30;36;38;44;41;JP;;670884,80;5;EUR;25557,50;89;EUR;1615,20;5253;EUR;48,60;92341;EUR;4,30;30;36;16;44;22;38;41;
Sunday;07.04.2002;1;11;22;36;42;43;31;DJP;;2082331,30;12;EUR;22403,90;236;EUR;1281,50;12407;EUR;43,30;209444;EUR;4,00;22;11;1;36;43;42;31;
Wednesday;10.04.2002;3;8;15;26;33;44;30;2;EUR;1899886,50;14;EUR;23366,50;491;EUR;749,50;20343;EUR;32,10;315226;EUR;3,20;15;44;26;3;8;33;30;
Sunday;14.04.2002;2;4;5;13;20;23;10;1;EUR;962376,50;8;EUR;22913,70;256;EUR;805,50;10817;EUR;33,80;170316;EUR;3,30;23;5;20;4;2;13;10;
Wednesday;17.04.2002;1;18;21;22;26;39;19;1;EUR;812714,30;1;EUR;154802,70;115;EUR;1514,30;6848;EUR;45,20;127233;EUR;3,80;22;21;18;39;26;1;19;
Sunday;21.04.2002;8;16;19;24;34;44;5;3;EUR;319171,30;11;EUR;16580,30;255;EUR;804,60;10237;EUR;35,60;154675;EUR;3,60;16;34;44;19;8;24;5;
Wednesday;24.04.2002;3;9;14;17;20;44;35;JP;;697874,20;3;EUR;44309,40;131;EUR;1141,50;7159;EUR;37,10;120658;EUR;3,40;44;14;17;3;20;9;35;
Sunday;28.04.2002;5;8;11;13;22;28;42;2;EUR;1031978,70;7;EUR;37172,30;423;EUR;692,00;18280;EUR;28,40;265668;EUR;3,00;13;22;11;28;5;8;42;
