weekday;date;nr1asc;nr2asc;nr3asc;nr4asc;nr5asc;nr6asc;additionalNr;six;currency1;rateSix;fiveAddNr;currency2;rateFiveAddNr;five;currency3;rateFive;fourAddNr;currency4;rateFourAddNr;nr1;nr2;nr3;nr4;nr5;nr6;four;currency5;rateFour;threeAddNr;currency6;rateThreeAddNr;three;currency7;rateThree;nrOfAddNr;currency8;rateAddNr;
Sunday;3.4.2011;13;15;27;35;36;38;11;JP; ;962452,90;11;EUR;12030,60;123;EUR;1173,70;386;EUR;130,90;27;15;13;38;35;36;5631;EUR;42,30;8142;EUR;14,10;87995;EUR;4,80;318105;EUR;1,10;
Wednesday;6.4.2011;10;16;33;38;40;41;35;2JP;;2217855,70;1;EUR;172617,80;127;EUR;1482,70;419;EUR;157,20;38;33;10;40;41;16;6915;EUR;44,90;9454;EUR;15,90;118274;EUR;4,60;333932;EUR;1,10;
Sunday;10.4.2011;2;5;13;15;19;26;43;1;EUR;3834674,30;5;EUR;44462,50;267;EUR;908,30;496;EUR;171,10;19;13;2;5;15;26;11172;EUR;35,80;12893;EUR;15,00;171900;EUR;4,10;433435;EUR;1,10;
Wednesday;13.4.2011;7;9;18;22;31;44;24;1;EUR;1000000,00;3;EUR;38663,60;141;EUR;897,40;326;EUR;135,80;22;9;31;44;7;18;5292;EUR;39,40;6723;EUR;15,00;82972;EUR;4,40;230232;EUR;1,10;
Sunday;17.4.2011;4;16;21;22;29;42;32;JP;;985513,00;4;EUR;33877,00;127;EUR;1163,90;351;EUR;147,40;29;22;21;16;42;4;5916;EUR;41,20;8500;EUR;13,90;96642;EUR;4,40;249332;EUR;1,10;
Wednesday;20.4.2011;8;13;14;25;34;39;44;2JP;;2133899,10;2;EUR;78951,50;139;EUR;1239,20;333;EUR;181,00;39;8;13;34;14;25;6075;EUR;46,70;8543;EUR;16,10;103072;EUR;4,90;305506;EUR;1,10;
Sunday;24.4.2011;2;5;14;20;33;43;30;1;EUR;3673362,50;3;EUR;70558,70;180;EUR;1282,80;525;EUR;153,90;14;43;20;2;5;33;8853;EUR;43,00;12666;EUR;14,50;146806;EUR;4,60;420478;EUR;1,10;
Wednesday;27.4.2011;2;8;9;16;32;44;14;JP;;727777,50;0;;100069,40;108;EUR;1010,80;222;EUR;172,10;2;9;8;16;44;32;4798;EUR;37,50;5584;EUR;15,60;73265;EUR;4,30;194180;EUR;1,10;
Sunday;1.5.2011;15;24;25;32;38;41;28;1;EUR;2060339,10;6;EUR;47216,10;161;EUR;1241,50;488;EUR;143,30;38;41;24;25;32;15;7483;EUR;44,00;10673;EUR;14,90;113401;EUR;5,10;419754;EUR;1,10;
Wednesday;4.5.2011;4;10;21;37;40;43;20;1;EUR;1000000,00;2;EUR;57790,80;89;EUR;1416,70;233;EUR;189,40;37;21;43;40;4;10;4414;EUR;47,10;6450;EUR;15,60;76653;EUR;4,80;232608;EUR;1,10;
Sunday;8.5.2011;3;5;6;33;36;44;22;JP;;974541,20;7;EUR;19142,70;119;EUR;1228,40;371;EUR;137,90;3;5;33;6;36;44;5640;EUR;42,70;9240;EUR;12,60;96482;EUR;4,40;275588;EUR;1,10;
Wednesday;11.5.2011;4;6;24;26;28;42;25;1;EUR;2013729,30;5;EUR;28577,60;160;EUR;974,20;293;EUR;186,20;4;26;24;28;42;6;6375;EUR;40,30;7597;EUR;16,40;104428;EUR;4,30;277795;EUR;1,10;
Sunday;15.5.2011;2;18;21;22;29;40;37;JP;;947962,30;0;;130344,80;91;EUR;1562,50;259;EUR;192,10;2;29;40;18;22;21;5475;EUR;42,80;6289;EUR;18,00;90170;EUR;4,60;235068;EUR;1,10;
Wednesday;18.5.2011;5;9;24;25;31;45;18;1;EUR;2026403,60;4;EUR;69657,60;123;EUR;1315,10;354;EUR;159,90;9;24;5;45;31;25;6291;EUR;42,40;8822;EUR;14,60;104562;EUR;4,50;283138;EUR;1,10;
Sunday;22.5.2011;2;17;24;33;38;43;28;JP;;881852,00;7;EUR;17322,00;119;EUR;1111,50;298;EUR;155,30;2;43;24;17;33;38;4768;EUR;45,70;7430;EUR;14,20;79542;EUR;4,80;267017;EUR;1,10;
Wednesday;25.5.2011;2;11;16;18;28;43;37;2JP;;1894193,90;1;EUR;139197,00;109;EUR;1393,10;274;EUR;193,90;43;2;11;28;18;16;6000;EUR;41,70;6975;EUR;17,40;99568;EUR;4,40;255911;EUR;1,10;
